TempS1;UmiS1;TempS2;UmiS2;Diff;DtGravacao
21,8;73;21;71;0,8;2025-08-27 19:51:20
21,8;73;21;71;0,8;2025-08-27 19:51:26
21,8;73;21;71;0,8;2025-08-27 19:51:31
21,8;73;21;71;0,8;2025-08-27 19:51:36
21,8;73;21;71;0,8;2025-08-27 19:51:41
21,8;73;21;71;0,8;2025-08-27 19:51:47
21,8;73;21;71;0,8;2025-08-27 19:51:52
21,8;73;21;71;0,8;2025-08-27 19:51:57
21,8;73;21;71;0,8;2025-08-27 19:52:02
21,8;73;21;71;0,8;2025-08-27 19:52:08
21,8;73;21;71;0,8;2025-08-27 19:52:13
21,8;73;21;71;0,8;2025-08-27 19:52:18
21,8;73;21;71;0,8;2025-08-27 19:52:23
21,8;73;21;71;0,8;2025-08-27 19:52:28
21,8;73;21;71;0,8;2025-08-27 19:52:34
21,8;73;21;71;0,8;2025-08-27 19:52:39
21,8;73;21;71;0,8;2025-08-27 19:52:44
21,8;73;21;71;0,8;2025-08-27 19:52:49
21,8;73;21;71;0,8;2025-08-27 19:52:55
21,8;73;21;71;0,8;2025-08-27 19:53:00
21,8;73;21;71;0,8;2025-08-27 19:53:05
21,8;73;21;71;0,8;2025-08-27 19:53:10
21,8;73;21;71;0,8;2025-08-27 19:53:15
21,8;73;21;71;0,8;2025-08-27 19:53:21
21,8;73;21;71;0,8;2025-08-27 19:53:26
21,8;73;21;71;0,8;2025-08-27 19:53:31
21,8;73;21;71;0,8;2025-08-27 19:53:36
21,8;73;21;71;0,8;2025-08-27 19:53:42
21,8;73;21;71;0,8;2025-08-27 19:53:47
21,8;73;21;71;0,8;2025-08-27 19:53:52
21,8;73;21;71;0,8;2025-08-27 19:53:57
21,8;73;21;71;0,8;2025-08-27 19:54:03
21,8;73;21;71;0,8;2025-08-27 19:54:08
21,8;73;21;71;0,8;2025-08-27 19:54:13
21,8;73;21;71;0,8;2025-08-27 19:54:18
21,8;73;21;71;0,8;2025-08-27 19:54:23
21,8;73;21;71;0,8;2025-08-27 19:54:29
21,8;73;21;71;0,8;2025-08-27 19:54:34
21,8;73;21;71;0,8;2025-08-27 19:54:39
21,8;73;21;71;0,8;2025-08-27 19:54:44
21,8;73;21;71;0,8;2025-08-27 19:54:50
21,8;73;21;71;0,8;2025-08-27 19:54:55
21,8;73;21;71;0,8;2025-08-27 19:55:00
21,8;73;21;71;0,8;2025-08-27 19:55:05
21,8;73;21;71;0,8;2025-08-27 19:55:10
21,8;73;21;71;0,8;2025-08-27 19:55:16
21,8;73;21;71;0,8;2025-08-27 19:55:21
21,8;73;21;71;0,8;2025-08-27 19:55:26
21,8;73;21;71;0,8;2025-08-27 19:55:31
21,8;73;21;71;0,8;2025-08-27 19:55:37
21,8;73;21;71;0,8;2025-08-27 19:55:42
21,8;73;21;71;0,8;2025-08-27 19:55:47
21,8;73;21;71;0,8;2025-08-27 19:55:52
21,8;73;21;71;0,8;2025-08-27 19:55:57
21,8;73;21;71;0,8;2025-08-27 19:56:03
21,8;73;21;71;0,8;2025-08-27 19:56:08
21,8;73;21;71;0,8;2025-08-27 19:56:13
21,8;73;21;71;0,8;2025-08-27 19:56:18
21,8;73;21;71;0,8;2025-08-27 19:56:24
21,8;73;21;71;0,8;2025-08-27 19:56:29
21,8;73;21;71;0,8;2025-08-27 19:56:34
21,8;73;21;71;0,8;2025-08-27 19:56:39
21,8;73;21;71;0,8;2025-08-27 19:56:44
21,8;73;21;71;0,8;2025-08-27 19:56:50
21,8;73;21;71;0,8;2025-08-27 19:56:55
21,8;73;21;71;0,8;2025-08-27 19:57:00
21,8;73;21;71;0,8;2025-08-27 19:57:05
21,8;73;21;71;0,8;2025-08-27 19:57:11
21,8;73;21;71;0,8;2025-08-27 19:57:16
21,8;73;21;71;0,8;2025-08-27 19:57:21
21,8;73;21;71;0,8;2025-08-27 19:57:26
21,8;73;21;71;0,8;2025-08-27 19:57:32
21,8;73;21;71;0,8;2025-08-27 19:57:37
21,8;73;21;71;0,8;2025-08-27 19:57:42
21,8;73;21;71;0,8;2025-08-27 19:57:47
21,8;73;21;71;0,8;2025-08-27 19:57:52
21,8;73;21;71;0,8;2025-08-27 19:57:58
21,8;73;21;71;0,8;2025-08-27 19:58:03
21,8;73;21;71;0,8;2025-08-27 19:58:08
21,8;73;21;71;0,8;2025-08-27 19:58:13
21,8;73;21;71;0,8;2025-08-27 19:58:19
21,8;73;21;71;0,8;2025-08-27 19:58:24
21,8;73;21;71;0,8;2025-08-27 19:58:29
21,8;73;21;71;0,8;2025-08-27 19:58:34
21,8;73;21;71;0,8;2025-08-27 19:58:39
21,8;73;21;71;0,8;2025-08-27 19:58:45
21,8;73;21;71;0,8;2025-08-27 19:58:50
21,8;73;21;71;0,8;2025-08-27 19:58:55
21,8;73;21;71;0,8;2025-08-27 19:59:00
21,8;73;21;71;0,8;2025-08-27 19:59:06
21,8;73;21;71;0,8;2025-08-27 19:59:11
21,8;73;21;71;0,8;2025-08-27 19:59:16
21,8;73;21;71;0,8;2025-08-27 19:59:21
21,8;73;21;71;0,8;2025-08-27 19:59:27
21,8;73;21;71;0,8;2025-08-27 19:59:32
21,8;73;21;71;0,8;2025-08-27 19:59:37
21,8;73;21;71;0,8;2025-08-27 19:59:42
21,8;73;21;71;0,8;2025-08-27 19:59:47
21,8;73;21;71;0,8;2025-08-27 19:59:53
21,8;73;21;71;0,8;2025-08-27 19:59:58
21,8;73;21;71;0,8;2025-08-27 20:00:03
21,8;73;21;71;0,8;2025-08-27 20:00:08
21,8;73;21;71;0,8;2025-08-27 20:00:14
21,8;73;21;71;0,8;2025-08-27 20:00:19
21,8;73;21;71;0,8;2025-08-27 20:00:24
21,8;73;21;71;0,8;2025-08-27 20:00:29
21,8;73;21;71;0,8;2025-08-27 20:00:34
21,8;73;21;71;0,8;2025-08-27 20:00:40
21,8;73;21;71;0,8;2025-08-27 20:00:45
21,8;73;21;71;0,8;2025-08-27 20:00:50
21,8;73;21;71;0,8;2025-08-27 20:00:55
21,8;73;21;71;0,8;2025-08-27 20:01:01
21,8;73;21;71;0,8;2025-08-27 20:01:06
21,8;73;21;71;0,8;2025-08-27 20:01:11
21,8;73;21;71;0,8;2025-08-27 20:01:16
21,8;73;21;71;0,8;2025-08-27 20:01:21
21,8;73;21;71;0,8;2025-08-27 20:01:27
21,8;73;21;71;0,8;2025-08-27 20:01:32
21,8;73;21;71;0,8;2025-08-27 20:01:37
21,8;73;21;71;0,8;2025-08-27 20:01:42
21,8;73;21;71;0,8;2025-08-27 20:01:48
21,8;73;21;71;0,8;2025-08-27 20:01:53
21,8;73;21;71;0,8;2025-08-27 20:01:58
21,8;73;21;71;0,8;2025-08-27 20:02:03
21,8;73;21;71;0,8;2025-08-27 20:02:09
21,8;73;21;71;0,8;2025-08-27 20:02:14
21,8;73;21;71;0,8;2025-08-27 20:02:19
21,8;73;21;71;0,8;2025-08-27 20:02:24
21,8;73;21;71;0,8;2025-08-27 20:02:29
21,8;73;21;71;0,8;2025-08-27 20:02:35
21,8;73;21;71;0,8;2025-08-27 20:02:40
21,8;73;21;71;0,8;2025-08-27 20:02:45
21,8;73;21;71;0,8;2025-08-27 20:02:50
21,8;73;21;71;0,8;2025-08-27 20:02:56
21,8;73;21;71;0,8;2025-08-27 20:03:01
21,8;73;21;71;0,8;2025-08-27 20:03:06
21,8;73;21;71;0,8;2025-08-27 20:03:11
21,8;73;21;71;0,8;2025-08-27 20:03:16
21,8;73;21;71;0,8;2025-08-27 20:03:22
21,8;73;21;71;0,8;2025-08-27 20:03:27
21,8;73;21;71;0,8;2025-08-27 20:03:32
21,8;73;21;71;0,8;2025-08-27 20:03:37
21,8;73;21;71;0,8;2025-08-27 20:03:43
21,8;73;21;71;0,8;2025-08-27 20:03:48
21,8;73;21;71;0,8;2025-08-27 20:03:53
21,8;73;21;71;0,8;2025-08-27 20:03:58
21,8;73;21;71;0,8;2025-08-27 20:04:04
21,8;73;21;71;0,8;2025-08-27 20:04:09
21,8;73;21;71;0,8;2025-08-27 20:04:14
21,8;73;21;71;0,8;2025-08-27 20:04:19
21,8;73;21;71;0,8;2025-08-27 20:04:24
21,8;73;21;71;0,8;2025-08-27 20:04:30
21,8;73;21;71;0,8;2025-08-27 20:04:35
21,8;73;21;71;0,8;2025-08-27 20:04:40
21,8;73;21;71;0,8;2025-08-27 20:04:45
21,8;73;21;71;0,8;2025-08-27 20:04:51
21,8;73;21;71;0,8;2025-08-27 20:04:56
21,8;73;21;71;0,8;2025-08-27 20:05:01
21,8;73;21;71;0,8;2025-08-27 20:05:06
21,8;73;21;71;0,8;2025-08-27 20:05:11
21,8;73;21;71;0,8;2025-08-27 20:05:17
21,8;73;21;71;0,8;2025-08-27 20:05:22
21,8;73;21;71;0,8;2025-08-27 20:05:27
21,8;73;21;71;0,8;2025-08-27 20:05:32
21,8;73;21;71;0,8;2025-08-27 20:05:38
21,8;73;21;71;0,8;2025-08-27 20:05:43
21,8;73;21;71;0,8;2025-08-27 20:05:48
21,8;73;21;71;0,8;2025-08-27 20:05:53
21,8;73;21;71;0,8;2025-08-27 20:05:58
21,8;73;21;71;0,8;2025-08-27 20:06:04
21,8;73;21;71;0,8;2025-08-27 20:06:09
21,8;73;21;71;0,8;2025-08-27 20:06:14
21,8;73;21;71;0,8;2025-08-27 20:06:19
21,8;73;21;71;0,8;2025-08-27 20:06:25
21,8;73;21;71;0,8;2025-08-27 20:06:30
21,8;73;21;71;0,8;2025-08-27 20:06:35
21,8;73;21;71;0,8;2025-08-27 20:06:40
21,8;73;21;71;0,8;2025-08-27 20:06:45
21,8;73;21;71;0,8;2025-08-27 20:06:51
21,8;73;21;71;0,8;2025-08-27 20:06:56
21,8;73;21;71;0,8;2025-08-27 20:07:01
21,8;73;21;71;0,8;2025-08-27 20:07:06
21,8;73;21;71;0,8;2025-08-27 20:07:12
21,8;73;21;71;0,8;2025-08-27 20:07:17
21,8;73;21;71;0,8;2025-08-27 20:07:22
21,8;73;21;71;0,8;2025-08-27 20:07:27
21,8;73;21;71;0,8;2025-08-27 20:07:33
21,8;73;21;71;0,8;2025-08-27 20:07:38
21,8;73;21;71;0,8;2025-08-27 20:07:43
21,8;73;21;71;0,8;2025-08-27 20:07:48
21,8;73;21;71;0,8;2025-08-27 20:07:53
21,8;73;21;71;0,8;2025-08-27 20:07:59
21,8;73;21;71;0,8;2025-08-27 20:08:04
21,8;73;21;71;0,8;2025-08-27 20:08:09
21,8;73;21;71;0,8;2025-08-27 20:08:15
21,8;73;21;71;0,8;2025-08-27 20:08:20
21,8;73;21;71;0,8;2025-08-27 20:08:25
21,8;73;21;71;0,8;2025-08-27 20:08:30
21,8;73;21;71;0,8;2025-08-27 20:08:35
21,8;73;21;71;0,8;2025-08-27 20:08:41
21,8;73;21;71;0,8;2025-08-27 20:08:46
21,8;73;21;71;0,8;2025-08-27 20:08:51
21,8;73;21;71;0,8;2025-08-27 20:08:56
21,8;73;21;71;0,8;2025-08-27 20:09:02
21,8;73;21;71;0,8;2025-08-27 20:09:07
21,8;73;21;71;0,8;2025-08-27 20:09:12
21,8;73;21;71;0,8;2025-08-27 20:09:17
21,8;73;21;71;0,8;2025-08-27 20:09:23
21,8;73;21;71;0,8;2025-08-27 20:09:28
21,8;73;21;71;0,8;2025-08-27 20:09:33
21,8;73;21;71;0,8;2025-08-27 20:09:38
21,8;73;21;71;0,8;2025-08-27 20:09:43
21,8;73;21;71;0,8;2025-08-27 20:09:49
21,8;73;21;71;0,8;2025-08-27 20:09:54
21,8;73;21;71;0,8;2025-08-27 20:09:59
21,8;73;21;71;0,8;2025-08-27 20:10:04
21,8;73;21;71;0,8;2025-08-27 20:10:10
21,8;73;21;71;0,8;2025-08-27 20:10:15
21,8;73;21;71;0,8;2025-08-27 20:10:20
21,8;73;21;71;0,8;2025-08-27 20:10:25
21,8;73;21;71;0,8;2025-08-27 20:10:30
21,8;73;21;71;0,8;2025-08-27 20:10:36
21,8;73;21;71;0,8;2025-08-27 20:10:41
21,8;73;21;71;0,8;2025-08-27 20:10:46
21,8;73;21;71;0,8;2025-08-27 20:10:52
21,8;73;21;71;0,8;2025-08-27 20:10:57
21,8;73;21;71;0,8;2025-08-27 20:11:02
21,8;73;21;71;0,8;2025-08-27 20:11:07
21,8;73;21;71;0,8;2025-08-27 20:11:12
21,8;73;21;71;0,8;2025-08-27 20:11:18
21,8;73;21;71;0,8;2025-08-27 20:11:23
21,8;73;21;71;0,8;2025-08-27 20:11:28
21,8;73;21;71;0,8;2025-08-27 20:11:33
21,8;73;21;71;0,8;2025-08-27 20:11:39
21,8;73;21;71;0,8;2025-08-27 20:11:44
21,8;73;21;71;0,8;2025-08-27 20:11:49
